country_name,co2,metric
Australia,16.83,mean
Brazil,1.84,mean
Canada,15.92,mean
China,4.55,mean
France,5.62,mean
Germany,9.94,mean
India,1.13,mean
Italy,6.94,mean
Japan,9.22,mean
Mexico,3.78,mean
South Africa,7.32,mean
United Kingdom,8.16,mean
Australia,18.52,max
Brazil,2.52,max
Canada,17.38,max
China,7.61,max
France,6.5,max
Germany,12.03,max
India,1.81,max
Italy,8.19,max
Japan,9.91,max
Mexico,4.19,max
South Africa,8.57,max
United Kingdom,9.94,max
Australia,15.24,min
Brazil,1.33,min
Canada,14.71,min
China,1.91,min
France,4.47,min
Germany,7.91,min
India,0.65,min
Italy,5.31,min
Japan,8.54,min
Mexico,3.21,min
South Africa,6.18,min
United Kingdom,5.22,min
