id,title,release_year,runtime,genres,production_country,imdb_score,imdb_votes
tm40103,Mobile Suit Gundam: Char's Counterattack,1988,119,"['scifi', 'animation', 'action', 'drama', 'war']",['JP'],7.3,1693.0
tm125985,Mobile Suit Gundam II: Soldiers of Sorrow,1981,133,"['animation', 'scifi', 'action', 'drama', 'war']",['JP'],7.2,1274.0
tm49037,Mobile Suit Gundam III: Encounters in Space,1982,144,"['action', 'drama', 'war', 'animation', 'scifi']",['JP'],7.6,1236.0
tm192037,Starship Troopers,1997,129,"['scifi', 'action', 'thriller']",['US'],7.3,291452.0
tm192405,Gattaca,1997,106,"['scifi', 'thriller', 'romance', 'drama']",['US'],7.8,300701.0
tm190835,Neon Genesis Evangelion: The End of Evangelion,1997,87,"['action', 'drama', 'animation', 'scifi', 'fantasy']",['JP'],8.0,53152.0
tm10739,Johnny Mnemonic,1995,97,"['action', 'drama', 'scifi', 'thriller']","['CA', 'US']",5.6,71563.0
tm192199,Spawn,1997,96,"['scifi', 'action', 'drama', 'horror']",['US'],5.2,68184.0
tm191431,Double Team,1997,93,"['action', 'scifi', 'comedy', 'thriller']","['HK', 'US']",4.8,34396.0
tm7073,Knight Rider 2000,1991,91,"['action', 'scifi']",['US'],4.5,3207.0
tm74402,The Mist,2007,126,"['horror', 'scifi', 'thriller']",['US'],7.1,305346.0
tm92641,Inception,2010,148,"['action', 'scifi', 'music', 'thriller']","['US', 'GB']",8.8,2294231.0
tm172683,War of the Worlds,2005,117,"['action', 'thriller', 'scifi']",['US'],6.5,444229.0
tm70807,I Am Legend,2007,101,"['scifi', 'thriller', 'action', 'drama']",['US'],7.2,745093.0
tm150260,Cloudy with a Chance of Meatballs,2009,90,"['animation', 'comedy', 'family', 'fantasy', 'scifi', 'romance', 'drama']",['US'],6.9,229274.0
tm95252,The Book of Eli,2010,118,"['scifi', 'action', 'thriller', 'drama', 'european']",['US'],6.8,314920.0
tm57190,The One,2001,87,"['thriller', 'action', 'scifi']",['US'],5.9,92007.0
tm161263,The Cave,2005,97,"['horror', 'thriller', 'action', 'scifi', 'european']","['DE', 'US']",5.1,38734.0
tm33981,Bon Cop Bad Cop,2006,116,"['comedy', 'crime', 'action', 'scifi', 'drama', 'thriller']",['CA'],6.5,61.0
tm82718,G.O.R.A.,2004,127,"['action', 'comedy', 'scifi']",['TR'],8.0,62386.0
tm170169,Kaal,2005,127,"['action', 'thriller', 'horror', 'scifi']",['IN'],4.7,5370.0
tm44730,The Amazing Spider-Man,2012,136,"['action', 'fantasy', 'scifi']",['US'],6.9,646119.0
tm158304,Contagion,2011,106,"['drama', 'thriller', 'scifi', 'action']","['AE', 'US']",6.8,301531.0
tm74848,Total Recall,2012,118,"['scifi', 'thriller', 'action', 'crime']","['CA', 'US']",6.2,253352.0
tm38980,Rise of the Guardians,2012,97,"['fantasy', 'action', 'family', 'animation', 'thriller', 'scifi', 'comedy', 'drama', 'european']",['US'],7.2,173157.0
tm56296,The History of Future Folk,2012,86,"['music', 'comedy', 'scifi']",['US'],7.1,3478.0
